,Tanggal_Penerbangan,Hari,Maskapai,Nomor_Penerbangan,Bandara_Asal,Kode_IATA_Asal,Bandara_Tujuan,Kode_IATA_Tujuan,Jadwal_Keberangkatan,Jadwal_Kedatangan,Kota_tujuan,Deskripsi_tujuan,Suhu_Celcius_tujuan,Kelembaban_%_tujuan,Tekanan_hPa_tujuan,Kecepatan_Angin_m/s_tujuan,Kecepatan_Angin_km_jam_tujuan,Kota_Asal,Rute,Durasi_Actual,Durasi_Normal,Keterlambatan_Kedatangan
0,2025-07-28,Senin,Batik Air,ID6288,Soekarno-Hatta International,CGK,Hasanudin,UPG,2025-07-28 00:10:00,2025-07-28 03:30:00,Makassar,gerimis,27.5,66,1012,3.2,11.520000000000001,Jakarta,Jakarta-Makassar,200.0,200.0,0.0
1,2025-07-28,Senin,Sriwijaya Air,SJ592,Soekarno-Hatta International,CGK,Hasanudin,UPG,2025-07-28 00:30:00,2025-07-28 03:55:00,Makassar,badai petir,24.7,64,1006,2.7,9.72,Jakarta,Jakarta-Makassar,205.0,200.0,5.0
2,2025-07-28,Senin,Citilink,QG346,Soekarno-Hatta International,CGK,Hasanudin,UPG,2025-07-28 01:10:00,2025-07-28 04:30:00,Makassar,badai petir,24.7,64,1006,2.7,9.72,Jakarta,Jakarta-Makassar,200.0,200.0,0.0
3,2025-07-28,Senin,Lion Air,JT898,Soekarno-Hatta International,CGK,Hasanudin,UPG,2025-07-28 01:30:00,2025-07-28 04:50:00,Makassar,badai petir,24.7,64,1006,2.7,9.72,Jakarta,Jakarta-Makassar,200.0,200.0,0.0
4,2025-07-28,Senin,Lion Air,JT986,Soekarno-Hatta International,CGK,Hasanudin,UPG,2025-07-28 01:30:00,2025-07-28 04:50:00,Makassar,badai petir,24.7,64,1006,2.7,9.72,Jakarta,Jakarta-Makassar,200.0,200.0,0.0
5,2025-07-28,Senin,Lion Air,JT3896,Soekarno-Hatta International,CGK,Hasanudin,UPG,2025-07-28 01:30:00,2025-07-28 04:50:00,Makassar,badai petir,24.7,64,1006,2.7,9.72,Jakarta,Jakarta-Makassar,200.0,200.0,0.0
6,2025-07-28,Senin,Lion Air,JT868,Soekarno-Hatta International,CGK,Juanda,SUB,2025-07-28 03:30:00,2025-07-28 04:55:00,Surabaya,berawan,24.1,87,1013,3.0,10.8,Jakarta,Jakarta-Surabaya,85.0,80.0,5.0
7,2025-07-28,Senin,Lion Air,JT690,Soekarno-Hatta International,CGK,Juanda,SUB,2025-07-28 03:30:00,2025-07-28 04:55:00,Surabaya,berawan,24.1,87,1013,3.0,10.8,Jakarta,Jakarta-Surabaya,85.0,80.0,5.0
8,2025-07-28,Senin,Lion Air,JT748,Soekarno-Hatta International,CGK,Juanda,SUB,2025-07-28 03:30:00,2025-07-28 04:55:00,Surabaya,berawan,24.1,87,1013,3.0,10.8,Jakarta,Jakarta-Surabaya,85.0,80.0,5.0
9,2025-07-28,Senin,Garuda Indonesia,GA604,Soekarno-Hatta International,CGK,Hasanudin,UPG,2025-07-28 01:35:00,2025-07-28 05:10:00,Makassar,badai petir,24.7,64,1006,2.7,9.72,Jakarta,Jakarta-Makassar,215.0,200.0,15.0
